OID_,VARIABLES,IMPORTANCE,PERCENTAGE
0,USGS_13ARCSEC_DEM32,132.761705419999998,10.042000000000000
1,SLOPE_USGS_13ARCSEC_DEM32,128.049437815999994,9.686000000000000
2,NLCD_2019_LAND_COVER_CONUS32,26.262876653700001,1.987000000000000
3,USGS_LANDSAT8_NDVI32,136.469687904000011,10.323000000000000
4,TIGERLINE_EUCDIST_FAULTS32,127.149222300000005,9.618000000000000
5,TIGERLINE_EUCDIST_ROADS32,137.120168712000009,10.372000000000000
6,TIGERLINE_EUCDIST_WATER32,141.030108815000006,10.667999999999999
7,PLAN_CURVATURE_USGS_13ARCSEC_DEM32,150.659253299999989,11.396000000000001
8,PROFILE_CURVATURE_USGS_13ARCSEC_DEM32,144.070830892999993,10.898000000000000
9,ASPECT_USGS_13ARCSEC_DEM32,137.429104066000008,10.395000000000000
10,SSURGO_SOILS32,18.201203517800000,1.377000000000000
11,USGS_SGMC_GEOLOGY32,42.834931206400000,3.240000000000000
