OID_,VARIABLES,IMPORTANCE,PERCENTAGE
0,USGS_13ARCSEC_DEM32,2.575491473280000,9.660000000000000
1,SLOPE_USGS_13ARCSEC_DEM32,2.503786639390000,9.391000000000000
2,NLCD_2019_LAND_COVER_CONUS32,2.318539081310000,8.696000000000000
3,USGS_LANDSAT8_NDVI32,2.339112158070000,8.773999999999999
4,TIGERLINE_EUCDIST_FAULTS32,1.901681235730000,7.133000000000000
5,TIGERLINE_EUCDIST_ROADS32,2.173548421670000,8.153000000000000
6,TIGERLINE_EUCDIST_WATER32,1.841864088310000,6.909000000000000
7,PLAN_CURVATURE_USGS_13ARCSEC_DEM32,2.064565131590000,7.744000000000000
8,PROFILE_CURVATURE_USGS_13ARCSEC_DEM32,1.941775916880000,7.283000000000000
9,ASPECT_USGS_13ARCSEC_DEM32,2.212699059050000,8.298999999999999
10,SSURGO_SOILS32,1.962164892390000,7.360000000000000
11,USGS_SGMC_GEOLOGY32,2.825587415660000,10.598000000000001
